,Base Name,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles,Day,Datetime
231,UBER,2020,5,May,4359377,0,24251,1,2020-05-01
232,LYFT,2020,5,May,1621495,0,15045,1,2020-05-01
233,VIA,2020,5,May,109127,0,1476,1,2020-05-01
234,UBER,2020,6,June,5114308,0,25821,1,2020-06-01
235,LYFT,2020,6,June,2310860,0,16422,1,2020-06-01
236,VIA,2020,6,June,130025,0,1531,1,2020-06-01
237,UBER,2020,7,July,7081522,0,32652,1,2020-07-01
238,LYFT,2020,7,July,2716099,0,21163,1,2020-07-01
239,VIA,2020,7,July,160833,0,1781,1,2020-07-01
240,UBER,2020,8,August,7856499,0,41099,1,2020-08-01
241,LYFT,2020,8,August,3072675,0,30098,1,2020-08-01
242,VIA,2020,8,August,167678,0,2791,1,2020-08-01
243,UBER,2020,9,September,8847755,0,42294,1,2020-09-01
244,LYFT,2020,9,September,3116906,0,31613,1,2020-09-01
245,VIA,2020,9,September,142008,0,2854,1,2020-09-01
246,UBER,2020,10,October,9797775,0,43848,1,2020-10-01
247,LYFT,2020,10,October,3323082,0,33098,1,2020-10-01
248,VIA,2020,10,October,147554,0,3013,1,2020-10-01
249,UBER,2020,11,November,8375281,0,44349,1,2020-11-01
250,LYFT,2020,11,November,3090686,0,34305,1,2020-11-01
251,VIA,2020,11,November,130898,0,3252,1,2020-11-01
252,UBER,2020,12,December,8486416,0,43284,1,2020-12-01
253,LYFT,2020,12,December,3023412,0,33777,1,2020-12-01
254,VIA,2020,12,December,127295,0,3489,1,2020-12-01
255,UBER,2021,1,January,8704128,0,39982,1,2021-01-01
256,LYFT,2021,1,January,3094325,0,30565,1,2021-01-01
257,VIA,2021,1,January,110015,0,2802,1,2021-01-01
258,UBER,2021,2,February,8290758,0,39322,1,2021-02-01
259,LYFT,2021,2,February,3237166,0,29617,1,2021-02-01
260,VIA,2021,2,February,86018,0,2575,1,2021-02-01
261,UBER,2021,3,March,10173376,0,44460,1,2021-03-01
262,LYFT,2021,3,March,3946703,0,32542,1,2021-03-01
263,VIA,2021,3,March,107314,0,2675,1,2021-03-01
264,UBER,2021,4,April,10238382,0,46797,1,2021-04-01
265,LYFT,2021,4,April,3768879,0,34834,1,2021-04-01
266,VIA,2021,4,April,104110,0,2435,1,2021-04-01
267,UBER,2021,5,May,10808415,0,48956,1,2021-05-01
268,LYFT,2021,5,May,3814434,0,36425,1,2021-05-01
269,VIA,2021,5,May,96322,0,2110,1,2021-05-01
270,UBER,2021,6,June,10747390,0,50389,1,2021-06-01
271,LYFT,2021,6,June,4130660,0,37466,1,2021-06-01
272,VIA,2021,6,June,83842,3743,1821,1,2021-06-01
273,UBER,2021,7,July,10704366,0,51053,1,2021-07-01
274,LYFT,2021,7,July,4229852,0,38119,1,2021-07-01
275,VIA,2021,7,July,92956,19711,1802,1,2021-07-01
276,UBER,2021,8,August,10196747,0,51083,1,2021-08-01
277,LYFT,2021,8,August,4209240,0,39929,1,2021-08-01
278,VIA,2021,8,August,93709,22432,1845,1,2021-08-01
279,UBER,2021,9,September,10557442,0,56492,1,2021-09-01
280,LYFT,2021,9,September,4240481,0,43051,1,2021-09-01
281,VIA,2021,9,September,88132,25022,1665,1,2021-09-01
282,UBER,2021,10,October,12086389,0,59108,1,2021-10-01
283,LYFT,2021,10,October,4429566,0,45407,1,2021-10-01
284,VIA,2021,10,October,29401,8614,1156,1,2021-10-01
285,UBER,2021,11,November,11819597,0,59896,1,2021-11-01
286,LYFT,2021,11,November,4222042,0,45594,1,2021-11-01
287,UBER,2021,12,December,11802074,0,60776,1,2021-12-01
288,LYFT,2021,12,December,4252421,0,46652,1,2021-12-01
289,UBER,2022,1,January,10826336,0,59725,1,2022-01-01
290,LYFT,2022,1,January,3925255,0,46216,1,2022-01-01
291,UBER,2022,2,February,11440898,0,60334,1,2022-02-01
292,LYFT,2022,2,February,4578385,0,46065,1,2022-02-01
